0,66,11
20,65,11
40,25,11
60,11,11
80,33,11
100,66,11
120,66,11
140,66,11
160,50,11
180,50,11
200,11,50
220,11,50
240,50,50
260,51,11
280,52,11
300,66,11
320,67,11
340,18,11
360,19,30
380,20,40
400,11,40
420,66,20
440,66,11
460,30,11
480,40,20
500,50,21
520,20,22
540,30,23
560,30,24
580,11,25
600,11,26
620,66,27
640,66,28
660,12,29
680,13,30
700,14,31
720,15,32
740,16,33
760,17,34
780,18,35
800,19,36
820,20,37
840,21,38
860,22,39
880,24,40
900,26,41
920,28,42
940,30,43
960,32,44
980,34,45
1000,36,46
1020,36,47
1040,36,48
1060,36,49
1080,36,50
1100,40,51
1120,41,52
1140,42,53
1160,43,54
1180,44,11
1200,45,11
1220,46,12
1240,47,13
1260,48,14
1280,49,15
1300,50,16
1320,51,17
1340,52,18
1360,53,19
1400,54,20
1420,55,21
1440,56,22
1460,57,23
1480,58,24
1500,59,25
1520,60,26
1540,61,27
1560,62,28
1580,63,29
1600,64,30
1620,65,31
1640,66,32
1660,67,33
1680,68,34
1700,69,35
1720,70,36
1740,71,37
1760,72,38
1780,73,39
1800,74,40
1820,75,41
1840,76,42
1860,77,43
1880,78,44
1900,79,45
1920,80,46
1940,81,47
1960,82,48
1980,83,49
2000,84,50
